com.samsung.shealth.activity.day_summary,6311013,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,0,,0,90,0,,2022-02-12 01:38:22.394,,2022-02-12 01:38:22.394,,,,-1,0,0,,,,0.0,,0.0,efe92217-9fad-43b5-a07f-a37e42ffac2a.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,efe92217-9fad-43b5-a07f-a37e42ffac2a,2022-02-01 00:00:00.000,
,,,,4506,,3034374,90,0,,2022-02-12 14:37:20.543,,2022-02-12 01:38:22.063,,,,-1,957787,55,,,,3256.8254,,218.3123,d6d2f054-3a04-4c05-9e53-ffceeacd0342.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,3034374,75000000,d6d2f054-3a04-4c05-9e53-ffceeacd0342,2022-02-11 00:00:00.000,
,,,,9911,,6260499,90,0,,2022-02-13 09:52:30.934,,2022-02-12 05:00:00.620,,,,-1,988232,115,,,,7527.2324,,433.05902,f30b2890-760d-42be-9c45-6239a276812c.extra_data.json,yJFPNrhfsu,123462,com.sec.android.app.shealth,6137037,11280000,f30b2890-760d-42be-9c45-6239a276812c,2022-02-12 00:00:00.000,
,,,,6628,,4216875,90,0,,2022-02-14 06:09:58.356,,2022-02-13 05:00:00.828,,,,-1,1276182,76,,,,5075.1177,,276.4976,f35e2d05-df1e-4a9c-84b8-ea86cb418cf7.extra_data.json,yJFPNrhfsu,78400,com.sec.android.app.shealth,4138475,17580000,f35e2d05-df1e-4a9c-84b8-ea86cb418cf7,2022-02-13 00:00:00.000,
,,,,14542,,9285115,90,0,,2022-02-15 03:55:40.918,,2022-02-14 05:00:00.466,,,,-1,985206,171,,,,10080.836,,618.11395,6fdd90e5-4d64-4ef0-ad28-5d6cb5875710.extra_data.json,yJFPNrhfsu,18800,com.sec.android.app.shealth,9266315,13260000,6fdd90e5-4d64-4ef0-ad28-5d6cb5875710,2022-02-14 00:00:00.000,
,,,,13799,,8940596,90,0,,2022-02-16 03:38:01.258,,2022-02-15 05:00:00.594,,,,-1,1198476,164,,,,9563.645,,528.2572,74f0de9f-78c1-4bb4-871b-8e781c45a59a.extra_data.json,yJFPNrhfsu,800,com.sec.android.app.shealth,8939796,13500000,74f0de9f-78c1-4bb4-871b-8e781c45a59a,2022-02-15 00:00:00.000,
,,,,13480,,8486149,90,0,,2022-02-17 10:52:53.129,,2022-02-16 06:53:55.307,,,,-1,1341804,155,,,,9705.905,,533.7624,9e5ef48b-f534-405c-9295-f1fd439eac45.extra_data.json,yJFPNrhfsu,36800,com.sec.android.app.shealth,8449349,19800000,9e5ef48b-f534-405c-9295-f1fd439eac45,2022-02-16 00:00:00.000,
,,,,11039,,7177600,90,0,,2022-02-18 06:10:45.219,,2022-02-17 05:00:00.335,,,,-1,1200638,132,,,,7772.4277,,493.1288,1f413819-70d2-4b03-a6af-dc2426f49ce1.extra_data.json,yJFPNrhfsu,9418,com.sec.android.app.shealth,7168182,20520000,1f413819-70d2-4b03-a6af-dc2426f49ce1,2022-02-17 00:00:00.000,
,,,,15589,,9438815,90,0,,2022-02-19 04:41:29.018,,2022-02-18 05:00:00.507,,,,-1,1504035,174,,,,11101.009,,675.4777,f7c36ce0-0939-4191-9aff-13ddff4dd4fc.extra_data.json,yJFPNrhfsu,437931,com.sec.android.app.shealth,9000884,15540000,f7c36ce0-0939-4191-9aff-13ddff4dd4fc,2022-02-18 00:00:00.000,
,,,,19742,,14220945,90,1060829,,2022-02-20 12:12:34.900,,2022-02-19 05:00:01.767,,,,-1,2983949,262,,,,13270.623,,981.7258,860ca83f-9752-487a-bd64-c60ea19b40ef.extra_data.json,yJFPNrhfsu,123600,com.sec.android.app.shealth,13036516,13800000,860ca83f-9752-487a-bd64-c60ea19b40ef,2022-02-19 00:00:00.000,
,,,,19875,,13679417,90,866695,,2022-02-21 03:54:22.798,,2022-02-20 05:00:00.760,,,,-1,2552845,252,,,,13263.351,,1033.9579,d8754e3e-e01a-40e8-a35f-e889df520248.extra_data.json,yJFPNrhfsu,235950,com.sec.android.app.shealth,12576772,25680000,d8754e3e-e01a-40e8-a35f-e889df520248,2022-02-20 00:00:00.000,
,,,,12721,,7805406,90,0,,2022-02-22 06:09:43.296,,2022-02-21 05:00:00.635,,,,-1,1333724,143,,,,9101.401,,547.65137,3bbc1445-4eee-40c7-8116-394c2e7690f9.extra_data.json,yJFPNrhfsu,16692,com.sec.android.app.shealth,7788714,18300000,3bbc1445-4eee-40c7-8116-394c2e7690f9,2022-02-21 00:00:00.000,
,,,,13384,,8289961,90,0,,2022-02-23 06:10:07.333,,2022-02-22 05:04:09.355,,,,-1,1732487,153,,,,9452.842,,593.01276,bd561b07-efb3-426f-a33a-7766ddd021f6.extra_data.json,yJFPNrhfsu,400,com.sec.android.app.shealth,8289561,17940000,bd561b07-efb3-426f-a33a-7766ddd021f6,2022-02-22 00:00:00.000,
,,,,13818,,8189727,90,0,,2022-02-24 11:51:25.441,,2022-02-23 05:21:12.054,,,,-1,1358338,150,,,,9813.202,,544.5009,01ecd987-e900-4a44-b91b-f88c22d8ea81.extra_data.json,yJFPNrhfsu,173750,com.sec.android.app.shealth,8015977,25680000,01ecd987-e900-4a44-b91b-f88c22d8ea81,2022-02-23 00:00:00.000,
,,,,9811,,5754800,90,0,,2022-02-25 06:09:51.125,,2022-02-24 05:40:19.062,,,,-1,819484,105,,,,7304.67,,411.71747,f6ca6d28-0c68-4bd4-b0ad-f38b0aa0b16b.extra_data.json,yJFPNrhfsu,87988,com.sec.android.app.shealth,5666812,17040000,f6ca6d28-0c68-4bd4-b0ad-f38b0aa0b16b,2022-02-24 00:00:00.000,
,,,,12303,,7686760,90,0,,2022-02-26 06:09:22.995,,2022-02-25 05:10:54.010,,,,-1,890294,142,,,,8633.403,,495.61258,8b90c9d3-8efa-4bf6-aafa-abd4f3eac51d.extra_data.json,yJFPNrhfsu,5200,com.sec.android.app.shealth,7681560,18780000,8b90c9d3-8efa-4bf6-aafa-abd4f3eac51d,2022-02-25 00:00:00.000,
,,,,9762,,6009832,90,0,,2022-02-27 04:39:40.684,,2022-02-26 05:00:00.420,,,,-1,1171801,110,,,,6637.128,,393.84573,87c00e6a-37d3-4eeb-9365-f7851f5ec02c.extra_data.json,yJFPNrhfsu,46312,com.sec.android.app.shealth,5963520,27660000,87c00e6a-37d3-4eeb-9365-f7851f5ec02c,2022-02-26 00:00:00.000,
,,,,1386,,924462,90,0,,2022-02-28 06:09:52.618,,2022-02-27 05:00:00.413,,,,-1,51359,16,,,,1020.59705,,48.939896,6d0f8c85-30c4-448b-9746-c8c5ed654605.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,924462,28320000,6d0f8c85-30c4-448b-9746-c8c5ed654605,2022-02-27 00:00:00.000,
,,,,10505,,6342469,90,0,,2022-03-01 11:40:14.726,,2022-02-28 05:00:00.560,,,,-1,1178255,116,,,,6924.9624,,371.19342,22cde4ce-b72c-4c56-bd2e-d1480ea421ea.extra_data.json,yJFPNrhfsu,10800,com.sec.android.app.shealth,6331669,21480000,22cde4ce-b72c-4c56-bd2e-d1480ea421ea,2022-02-28 00:00:00.000,
,,,,10598,,6747918,90,0,,2022-03-02 11:23:04.346,,2022-03-01 05:00:00.678,,,,-1,974677,124,,,,7499.3364,,445.66498,3fa0d8fc-d2c1-49c9-91fd-1a64e9479a1b.extra_data.json,yJFPNrhfsu,13200,com.sec.android.app.shealth,6734718,22320000,3fa0d8fc-d2c1-49c9-91fd-1a64e9479a1b,2022-03-01 00:00:00.000,
,,,,13928,,8903175,90,0,,2022-03-03 04:03:52.065,,2022-03-02 05:00:29.521,,,,-1,2131543,164,,,,9942.195,,604.4004,fda5a8d8-68f1-4a62-b036-76bb6ce59c4c.extra_data.json,yJFPNrhfsu,110,com.sec.android.app.shealth,8903065,21840000,fda5a8d8-68f1-4a62-b036-76bb6ce59c4c,2022-03-02 00:00:00.000,
,,,,11070,,7147649,90,0,,2022-03-04 12:32:23.469,,2022-03-03 05:00:01.725,,,,-1,1269725,131,,,,7331.229,,483.46094,2afe08cf-b5f2-4c02-af1b-0b70669727ff.extra_data.json,yJFPNrhfsu,44000,com.sec.android.app.shealth,7103649,26340000,2afe08cf-b5f2-4c02-af1b-0b70669727ff,2022-03-03 00:00:00.000,
,,,,8663,,5388400,90,0,,2022-03-05 05:32:41.585,,2022-03-04 05:00:00.773,,,,-1,775134,98,,,,6592.628,,351.3835,5ff45a68-5e4f-4d29-9baa-6f415cab8092.extra_data.json,yJFPNrhfsu,11347,com.sec.android.app.shealth,5377053,30480000,5ff45a68-5e4f-4d29-9baa-6f415cab8092,2022-03-04 00:00:00.000,
,,,,10417,,7033352,90,0,,2022-03-06 06:09:36.507,,2022-03-05 05:00:00.564,,,,-1,1388038,130,,,,7639.824,,437.1398,21e852e0-2959-4ac5-a3bd-403f38211de9.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,7033352,14580000,21e852e0-2959-4ac5-a3bd-403f38211de9,2022-03-05 00:00:00.000,
,,,,14292,,9244676,90,0,,2022-03-07 11:03:20.283,,2022-03-06 05:00:00.604,,,,-1,1267619,171,,,,10142.25,,601.4804,866f77f4-a8ff-410b-9f59-ae67641f7f81.extra_data.json,yJFPNrhfsu,4400,com.sec.android.app.shealth,9240276,25920000,866f77f4-a8ff-410b-9f59-ae67641f7f81,2022-03-06 00:00:00.000,
