com.samsung.shealth.exercise.recovery_heart_rate,6311013,2
create_sh_ver,start_time,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,exercise_id,pkg_name,end_time,datauuid,heart_rate
62981551,2025-08-15 11:58:40.738,62981551,2025-08-15 12:00:40.808,2025-08-15 12:00:40.808,UTC-0500,jkrxtcKrsf,6bbbfe5c-a047-4259-b272-1dfe91bcb4d6,com.sec.android.app.shealth,2025-08-15 12:00:40.738,d762ecc2-ae83-4c43-b331-4230aea4cbbc,d762ecc2-ae83-4c43-b331-4230aea4cbbc.heart_rate.json,
62981551,2025-08-23 13:04:37.744,62981551,2025-08-23 13:06:38.639,2025-08-23 13:06:38.639,UTC-0500,jkrxtcKrsf,312ea85d-dffc-4fbc-b82e-e6940994c9ae,com.sec.android.app.shealth,2025-08-23 13:06:37.744,84771057-ca6d-4e15-b755-fc47640ca072,84771057-ca6d-4e15-b755-fc47640ca072.heart_rate.json,
62981551,2025-08-28 12:51:34.053,62981551,2025-08-28 12:53:34.182,2025-08-28 12:53:34.182,UTC-0500,jkrxtcKrsf,952c8494-0848-47b8-86f1-41edc3a9c3d2,com.sec.android.app.shealth,2025-08-28 12:53:34.053,e3e6c783-c252-4bdf-9fd3-ede5ef9f28cf,e3e6c783-c252-4bdf-9fd3-ede5ef9f28cf.heart_rate.json,
62981551,2025-08-28 13:27:28.424,62981551,2025-08-28 13:29:28.606,2025-08-28 13:29:28.606,UTC-0500,jkrxtcKrsf,be439c63-5946-4e70-9f54-527c440b6476,com.sec.android.app.shealth,2025-08-28 13:29:28.424,d696d261-0243-43c2-8a94-67b5c3d50389,d696d261-0243-43c2-8a94-67b5c3d50389.heart_rate.json,
62981551,2025-09-03 13:27:17.711,62981551,2025-09-03 13:29:17.759,2025-09-03 13:29:17.759,UTC-0500,jkrxtcKrsf,34b23868-51d7-491b-8d1f-8eef241a4319,com.sec.android.app.shealth,2025-09-03 13:29:17.711,6504d9ad-e622-4417-a8f4-b9573048a351,6504d9ad-e622-4417-a8f4-b9573048a351.heart_rate.json,
62981551,2025-10-08 15:39:27.612,62981551,2025-10-08 15:41:28.029,2025-10-08 15:41:28.029,UTC+0100,jkrxtcKrsf,7ea0d0ac-a39d-4664-88b8-8943affabaee,com.sec.android.app.shealth,2025-10-08 15:41:27.612,6d8d430f-4ae4-4a2c-a10c-b8eeb123de8d,6d8d430f-4ae4-4a2c-a10c-b8eeb123de8d.heart_rate.json,
62981551,2025-10-12 14:18:45.733,62981551,2025-10-12 14:20:45.912,2025-10-12 14:20:45.912,UTC+0100,jkrxtcKrsf,e600bf20-d66a-48b2-9b6c-fa1c01b210ad,com.sec.android.app.shealth,2025-10-12 14:20:45.733,8e234227-2c5b-4aef-84d4-2561979e4129,8e234227-2c5b-4aef-84d4-2561979e4129.heart_rate.json,
62981551,2025-10-24 06:42:42.841,62981551,2025-10-24 06:44:42.890,2025-10-24 06:44:42.890,UTC+0100,jkrxtcKrsf,03b7e426-05ed-4800-b006-d4b2d633be39,com.sec.android.app.shealth,2025-10-24 06:44:42.841,09e161e8-6102-4325-9cb4-1a99c140c254,09e161e8-6102-4325-9cb4-1a99c140c254.heart_rate.json,
63060051,2025-11-28 09:14:26.556,63060051,2025-11-28 09:16:26.677,2025-11-28 09:16:26.677,UTC+0000,jkrxtcKrsf,eaf099ea-520d-402d-aefa-969ae726bbf5,com.sec.android.app.shealth,2025-11-28 09:16:26.556,0b4b1ed6-436f-46bf-8672-9757134623e0,0b4b1ed6-436f-46bf-8672-9757134623e0.heart_rate.json,
63060051,2025-12-03 08:56:37.830,63060051,2025-12-03 08:58:37.995,2025-12-03 08:58:37.995,UTC+0000,jkrxtcKrsf,57f4c2cd-c713-4157-8d67-c73798a1d339,com.sec.android.app.shealth,2025-12-03 08:58:37.830,607c2e70-2341-40ad-b054-ece55e26746e,607c2e70-2341-40ad-b054-ece55e26746e.heart_rate.json,
63070031,2026-01-13 08:20:33.047,63070031,2026-01-13 08:22:33.226,2026-01-13 08:22:33.226,UTC+0000,jkrxtcKrsf,23e0cf9f-ca4b-4538-9f1c-c0cf6e6713be,com.sec.android.app.shealth,2026-01-13 08:22:33.047,c6c169fa-d705-4890-be67-c5a78f351e64,c6c169fa-d705-4890-be67-c5a78f351e64.heart_rate.json,
63070031,2026-01-19 07:59:18.985,63070031,2026-01-19 08:01:19.036,2026-01-19 08:01:19.036,UTC+0000,jkrxtcKrsf,f4007636-c853-405e-9421-5a74f2f84839,com.sec.android.app.shealth,2026-01-19 08:01:18.985,3d20b2cd-8f7a-46dc-ad68-3d4b5924be1f,3d20b2cd-8f7a-46dc-ad68-3d4b5924be1f.heart_rate.json,
